pertanyaan,jawaban,topik
Kapan Perang Dunia I berlangsung?,Perang Dunia I berlangsung dari tahun 1914 sampai 1918.,Perang Dunia I
Apa pemicu pecahnya Perang Dunia I?,Pemicu langsung Perang Dunia I adalah pembunuhan Pangeran Franz Ferdinand dari Austria-Hongaria di Sarajevo pada 28 Juni 1914.,Perang Dunia I
Kapan Perang Dunia II dimulai?,"Perang Dunia II dimulai pada 1 September 1939 ketika Jerman menyerbu Polandia, dan berakhir pada tahun 1945.",Perang Dunia II
Kapan Revolusi Prancis terjadi?,"Revolusi Prancis dimulai pada tahun 1789, ditandai penyerbuan penjara Bastille pada 14 Juli 1789.",Revolusi Prancis
Kapan Tembok Berlin runtuh?,Tembok Berlin runtuh pada 9 November 1989 setelah berdiri sejak tahun 1961 memisahkan Berlin Barat dan Berlin Timur.,Tembok Berlin
Kapan Indonesia memproklamasikan kemerdekaan?,"Indonesia memproklamasikan kemerdekaan pada 17 Agustus 1945, dibacakan oleh Soekarno didampingi Mohammad Hatta.",Kemerdekaan Indonesia
Apa itu zaman Renaisans?,"Renaisans adalah periode kebangkitan seni, sains, dan pemikiran di Eropa yang berlangsung kira-kira dari abad ke-14 sampai abad ke-17, bermula di Italia.",Renaisans
Di mana Revolusi Industri dimulai?,"Revolusi Industri dimulai di Inggris pada akhir abad ke-18, didorong penemuan seperti mesin uap yang disempurnakan James Watt.",Revolusi Industri
Siapa penemu mesin cetak di Eropa?,Johannes Gutenberg mengembangkan mesin cetak dengan huruf lepas di Eropa sekitar tahun 1440-an. Alkitab Gutenberg dicetak sekitar tahun 1455.,Mesin cetak Gutenberg
Kapan Christopher Columbus sampai di Amerika?,Christopher Columbus mendarat di Kepulauan Karibia pada tahun 1492 dalam pelayaran yang didanai Kerajaan Spanyol.,Columbus
Kapan Amerika Serikat menyatakan kemerdekaan?,Amerika Serikat menyatakan kemerdekaan lewat Deklarasi Kemerdekaan pada 4 Juli 1776.,Kemerdekaan Amerika
Apa itu Revolusi Rusia?,Revolusi Rusia terjadi pada tahun 1917 dan menumbangkan kekuasaan Tsar. Revolusi Oktober membawa kaum Bolshevik pimpinan Lenin ke tampuk kekuasaan.,Revolusi Rusia
Apa itu Perang Dingin?,"Perang Dingin adalah persaingan politik dan militer antara Amerika Serikat dan Uni Soviet yang berlangsung kira-kira dari tahun 1947 sampai 1991, tanpa perang terbuka langsung di antara keduanya.",Perang Dingin
Siapa manusia pertama yang menginjak Bulan?,Neil Armstrong menjadi manusia pertama yang menginjakkan kaki di Bulan pada 20 Juli 1969 dalam misi Apollo 11.,Apollo 11
Apa itu Magna Carta?,Magna Carta adalah piagam yang ditandatangani Raja John dari Inggris pada tahun 1215. Piagam ini membatasi kekuasaan raja dan menjadi tonggak awal gagasan pemerintahan berdasarkan hukum.,Magna Carta
Kapan Konstantinopel jatuh?,Konstantinopel jatuh pada tahun 1453 ke tangan Kesultanan Utsmaniyah di bawah pimpinan Sultan Mehmed II.,Jatuhnya Konstantinopel
Apa peran Mahatma Gandhi bagi India?,Mahatma Gandhi memimpin perjuangan kemerdekaan India lewat gerakan tanpa kekerasan. India merdeka dari Inggris pada tahun 1947.,Mahatma Gandhi
Siapa Nelson Mandela?,Nelson Mandela adalah tokoh perlawanan terhadap politik apartheid di Afrika Selatan. Ia dibebaskan pada tahun 1990 setelah 27 tahun dipenjara dan menjadi presiden Afrika Selatan pada tahun 1994.,Nelson Mandela
Kapan Perang Salib dimulai?,Perang Salib pertama dimulai pada tahun 1095 setelah seruan Paus Urbanus II.,Perang Salib
Kapan Kekaisaran Romawi Barat runtuh?,Kekaisaran Romawi Barat runtuh pada tahun 476 Masehi.,Kekaisaran Romawi
Apa itu wabah Maut Hitam?,Maut Hitam adalah wabah pes yang melanda Eropa pada tahun 1347 sampai 1351 dan diperkirakan menewaskan sekitar sepertiga penduduk Eropa saat itu.,Maut Hitam
Kapan Perserikatan Bangsa-Bangsa berdiri?,Perserikatan Bangsa-Bangsa resmi berdiri pada 24 Oktober 1945 setelah Perang Dunia II berakhir.,Berdirinya PBB
Apa itu Konferensi Asia Afrika?,Konferensi Asia Afrika diselenggarakan di Bandung pada 18 sampai 24 April 1955 dan dihadiri 29 negara Asia dan Afrika. Konferensi ini menjadi cikal bakal Gerakan Non-Blok.,Konferensi Asia Afrika
Siapa Leonardo da Vinci?,Leonardo da Vinci adalah seniman sekaligus ilmuwan Italia pada masa Renaisans yang hidup dari tahun 1452 sampai 1519. Ia melukis Mona Lisa dan Perjamuan Terakhir.,Leonardo da Vinci
