pertanyaan,jawaban,topik
Di mana letak Candi Borobudur?,"Candi Borobudur terletak di Kabupaten Magelang, Jawa Tengah, Indonesia.",Borobudur
Kapan Candi Borobudur dibangun?,"Borobudur dibangun pada abad ke-9 Masehi pada masa Dinasti Syailendra, dan ditetapkan sebagai Situs Warisan Dunia UNESCO pada tahun 1991.",Borobudur
Berapa tinggi Menara Eiffel?,Menara Eiffel memiliki tinggi sekitar 330 meter jika dihitung sampai ujung antena di puncaknya.,Menara Eiffel
Kapan Menara Eiffel dibangun dan untuk apa?,"Menara Eiffel dibangun pada tahun 1887 sampai 1889 di Paris, Prancis, sebagai gerbang masuk Pameran Dunia tahun 1889.",Menara Eiffel
Siapa yang membangun Taj Mahal?,"Taj Mahal dibangun atas perintah Kaisar Mughal Shah Jahan sebagai makam untuk istrinya, Mumtaz Mahal. Bangunannya rampung sekitar tahun 1653 di Agra, India.",Taj Mahal
Terbuat dari apa Taj Mahal?,Taj Mahal dibangun dari marmer putih yang dihiasi ukiran dan batu mulia bertatah.,Taj Mahal
Berapa panjang Tembok Besar China?,"Menurut survei resmi pemerintah Tiongkok tahun 2012, total panjang seluruh bagian Tembok Besar China lebih dari 20.000 kilometer. Sebagian besar bagian yang masih berdiri berasal dari Dinasti Ming.",Tembok Besar China
Di negara mana Machu Picchu berada?,"Machu Picchu berada di Peru, Amerika Selatan, pada ketinggian sekitar 2.430 meter di atas permukaan laut. Situs ini dibangun peradaban Inca pada abad ke-15.",Machu Picchu
Berapa kapasitas penonton Colosseum?,Colosseum di Roma diperkirakan mampu menampung sekitar 50.000 penonton. Bangunannya selesai pada tahun 80 Masehi.,Colosseum
Apa yang membuat Petra terkenal?,Petra di Yordania terkenal karena bangunannya dipahat langsung pada tebing batu pasir berwarna kemerahan oleh bangsa Nabatea.,Petra
Berapa umur Piramida Giza?,"Piramida Khufu di Giza, Mesir, diperkirakan dibangun sekitar tahun 2560 Sebelum Masehi. Piramida ini satu-satunya Keajaiban Dunia Kuno yang masih berdiri sampai sekarang.",Piramida Giza
Apa itu Angkor Wat?,Angkor Wat adalah kompleks candi di Kamboja yang dibangun pada abad ke-12 pada masa Raja Suryawarman II. Angkor Wat tercatat sebagai monumen keagamaan terbesar di dunia.,Angkor Wat
Siapa arsitek Sydney Opera House?,Sydney Opera House dirancang arsitek asal Denmark bernama Jorn Utzon dan resmi dibuka pada tahun 1973.,Sydney Opera House
Kenapa Raja Ampat terkenal?,Raja Ampat di Papua Barat Daya terkenal karena memiliki keanekaragaman terumbu karang dan biota laut tertinggi di dunia.,Raja Ampat
Danau Toba terbentuk dari apa?,Danau Toba di Sumatera Utara terbentuk dari letusan gunung berapi raksasa sekitar 74.000 tahun lalu. Danau ini merupakan danau vulkanik terbesar di Asia Tenggara.,Danau Toba
Di mana komodo bisa dilihat di alam liar?,"Komodo, kadal terbesar di dunia, hidup liar di Taman Nasional Komodo, Nusa Tenggara Timur, terutama di Pulau Komodo dan Pulau Rinca.",Pulau Komodo
Dari mana asal Patung Liberty?,Patung Liberty adalah hadiah dari rakyat Prancis untuk Amerika Serikat dan diresmikan pada tahun 1886 di New York.,Patung Liberty
Berapa tinggi patung Christ the Redeemer?,"Patung Christ the Redeemer di Rio de Janeiro, Brasil, memiliki tinggi sekitar 30 meter tanpa menghitung alasnya. Patung ini selesai dibangun pada tahun 1931.",Christ the Redeemer
Berapa ketinggian Gunung Fuji?,Gunung Fuji setinggi 3.776 meter dan merupakan gunung tertinggi di Jepang.,Gunung Fuji
Lukisan apa yang paling terkenal di Museum Louvre?,Museum Louvre di Paris menyimpan lukisan Mona Lisa karya Leonardo da Vinci. Louvre merupakan museum seni yang paling banyak dikunjungi di dunia.,Museum Louvre
Kenapa rumah di Santorini berwarna putih?,Santorini adalah pulau vulkanik di Yunani yang terkenal dengan rumah bercat putih berkubah biru. Warna putih membantu memantulkan panas matahari sehingga rumah terasa lebih sejuk.,Santorini
Sungai apa yang membentuk Grand Canyon?,"Grand Canyon di negara bagian Arizona, Amerika Serikat, terbentuk dari pengikisan Sungai Colorado selama jutaan tahun. Panjang ngarai ini sekitar 446 kilometer.",Grand Canyon
Candi Prambanan itu candi agama apa?,"Prambanan adalah kompleks candi Hindu terbesar di Indonesia, dibangun pada abad ke-9 di perbatasan Yogyakarta dan Jawa Tengah, dan menjadi Situs Warisan Dunia UNESCO sejak tahun 1991.",Prambanan
Seberapa besar Great Barrier Reef?,Great Barrier Reef di lepas pantai Australia membentang lebih dari 2.300 kilometer dan merupakan sistem terumbu karang terbesar di dunia.,Great Barrier Reef
